Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
JOURNAL OF SPORT MANAGEMENT	J SPORT MANAGE	HUMAN KINETICS PUBL INC	0888-4773	1543-270X	3.5	3.9	Q1	18/133
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	SOC PSYCH PSYCH EPID	SPRINGER HEIDELBERG	0933-7954	1433-9285	3.5	4.5	Q1	71/288
Practical Radiation Oncology	PRACT RADIAT ONCOL	ELSEVIER SCIENCE INC	1879-8500	1879-8500	3.5	3.1	Q1	40/212
SEMINARS IN DIAGNOSTIC PATHOLOGY	SEMIN DIAGN PATHOL	W B SAUNDERS CO-ELSEVIER INC	0740-2570	1930-1111	3.5	3.9	Q1	18/90
Geography Compass	GEOGR COMPASS	WILEY	1749-8198	1749-8198	3.5	5.1	Q1	21/173
Vaccine	VACCINE	ELSEVIER SCI LTD	0264-410X	1873-2518	3.5	3.5	Q2	68/195
Fashion and Textiles	FASH TEXT	SPRINGER	2198-0802	2198-0802	3.5	3.7	Q1	6/31
Rhizosphere	RHIZOSPHERE-NETH	ELSEVIER		2452-2198	3.5	3.7	Q1	66/273
CANCER IMAGING	CANCER IMAGING	BMC	1740-5025	1470-7330	3.5	4.4	Q1	40/212
Mineral Economics	MINER ECON	SPRINGER HEIDELBERG	2191-2203	2191-2211	3.5	3.5	Q1	93/617
NEUROMODULATION	NEUROMODULATION	ELSEVIER	1094-7159	1525-1403	3.5	3.5	Q2	74/285
NEUROBIOLOGY OF AGING	NEUROBIOL AGING	ELSEVIER SCIENCE INC	0197-4580	1558-1497	3.5	4.1	Q2	109/314
BASIC AND APPLIED ECOLOGY	BASIC APPL ECOL	ELSEVIER GMBH	1439-1791	1618-0089	3.5	4.0	Q1	50/200
JOURNAL OF PETROLOGY	J PETROL	OXFORD UNIV PRESS	0022-3530	1460-2415	3.5	4.4	Q1	19/100
BJPsych Open	BJPSYCH OPEN	CAMBRIDGE UNIV PRESS	2056-4724	2056-4724	3.5	4.0	Q1	71/288
Eating Disorders	EAT DISORD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1064-0266	1532-530X	3.5	3.4	Q1	13/93
Epigenetics & Chromatin	EPIGENET CHROMATIN	BMC		1756-8935	3.5	4.7	Q2	61/191
Petroleum	PETROLEUM-PRC	KEAI PUBLISHING LTD	2405-6561	2405-5816	3.5		Q1	6/24
COMPLEMENTARY THERAPIES IN MEDICINE	COMPLEMENT THER MED	CHURCHILL LIVINGSTONE	0965-2299	1873-6963	3.5	3.8	Q1	10/45
Brain Behavior & Immunity-Health	BRAIN BEHAV IMMUN-HL	ELSEVIER	2666-3546	2666-3546	3.5	3.9	Q1	71/288
CANADIAN GEOTECHNICAL JOURNAL	CAN GEOTECH J	CANADIAN SCIENCE PUBLISHING	0008-3674	1208-6010	3.5	4.3	Q2	71/258
FOOD AND CHEMICAL TOXICOLOGY	FOOD CHEM TOXICOL	PERGAMON-ELSEVIER SCIENCE LTD	0278-6915	1873-6351	3.5	4.1	Q2	32/106
ONLINE INFORMATION REVIEW	ONLINE INFORM REV	EMERALD GROUP PUBLISHING LTD	1468-4527	1468-4535	3.5	3.7	Q1	31/166
Biology-Basel	BIOLOGY-BASEL	MDPI		2079-7737	3.5	4.0	Q1	20/107
International Journal of Bipolar Disorders	INT J BIPOLAR DISORD	SPRINGER	2194-7511	2194-7511	3.5	3.5	Q1	71/288
Journal of the Royal Society Interface	J R SOC INTERFACE	ROYAL SOC	1742-5689	1742-5662	3.5	3.8	Q1	31/135
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING	INT J PRES VES PIP	ELSEVIER SCI LTD	0308-0161	1879-3541	3.5	3.1	Q1	36/175
Journal of Informetrics	J INFORMETR	ELSEVIER	1751-1577	1875-5879	3.5	4.0	Q1	31/166
PSYCHO-ONCOLOGY	PSYCHO-ONCOLOGY	WILEY	1057-9249	1099-1611	3.5	4.0	Q1	6/48
German Journal of Human Resource Management-Zeitschrift fur Personalforschung	GER J HUM RESOUR MAN	SAGE PUBLICATIONS INC	2397-0022	2397-0030	3.5	4.4	Q2	30/115
IRRIGATION SCIENCE	IRRIGATION SCI	SPRINGER	0342-7188	1432-1319	3.5	3.4	Q1	20/129
JOURNAL OF FLUIDS AND STRUCTURES	J FLUID STRUCT	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	0889-9746	1095-8622	3.5	3.9	Q1	44/182
Viruses-Basel	VIRUSES-BASEL	MDPI		1999-4915	3.5	3.7	Q2	17/42
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION	J ENDOCRINOL INVEST	SPRINGER	0391-4097	1720-8386	3.5	3.7	Q2	71/191
JTO Clinical and Research Reports	JTO CLIN RES REP	ELSEVIER		2666-3643	3.5	3.5	Q1	26/108
SCIENTOMETRICS	SCIENTOMETRICS	SPRINGER	0138-9130	1588-2861	3.5	4.1	Q1	31/166
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	SPACE WEATHER	AMER GEOPHYSICAL UNION		1542-7390	3.5	3.8	Q1	19/100
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	AM J PHARM EDUC	ELSEVIER	0002-9459	1553-6467	3.5	3.8	Q1	15/86
Materials Testing	MATER TEST	WALTER DE GRUYTER GMBH	0025-5300	2195-8572	3.5	2.3	Q1	7/37
Meat and Muscle Biology	MEAT MUSCLE BIOL	Iowa State Univ Digital Press		2575-985X	3.5		Q1	8/86
Orphanet Journal of Rare Diseases	ORPHANET J RARE DIS	BMC		1750-1172	3.5	4.0	Q2	61/191
Translational Lung Cancer Research	TRANSL LUNG CANCER R	AME PUBLISHING COMPANY	2218-6751	2226-4477	3.5	4.0	Q1	26/108
CLINICAL AND EXPERIMENTAL HYPERTENSION	CLIN EXP HYPERTENS	TAYLOR & FRANCIS INC	1064-1963	1525-6006	3.5	2.2	Q2	26/98
SENSORS	SENSORS-BASEL	MDPI		1424-8220	3.5	3.7	Q2	24/79
European Review of Aging and Physical Activity	EUR REV AGING PHYS A	SPRINGER HEIDELBERG	1813-7253	1861-6909	3.5	5.6	Q2	31/73
Frontiers of Medicine	FRONT MED-PRC	SPRINGER	2095-0217	2095-0225	3.5	4.8	Q2	106/326
Journal of Evidence Based Medicine	J EVID-BASED MED	WILEY	1756-5383	1756-5391	3.5	4.3	Q1	53/332
Journal of Geophysical Research-Biogeosciences	J GEOPHYS RES-BIOGEO	AMER GEOPHYSICAL UNION	2169-8953	2169-8961	3.5	4.2	Q2	71/258
METABOLIC BRAIN DISEASE	METAB BRAIN DIS	SPRINGER/PLENUM PUBLISHERS	0885-7490	1573-7365	3.5	3.6	Q2	109/314
MICROBIAL PATHOGENESIS	MICROB PATHOGENESIS	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	0882-4010	1096-1208	3.5	3.6	Q2	68/163
Pervasive and Mobile Computing	PERVASIVE MOB COMPUT	ELSEVIER	1574-1192	1873-1589	3.5	3.4	Q2	97/258
Phytopathology Research	PHYTOPATHOL RES	SPRINGERNATURE	2096-5362	2524-4167	3.5	3.9	Q1	66/273
International Journal of Climate Change Strategies and Management	INT J CLIM CHANG STR	EMERALD GROUP PUBLISHING LTD	1756-8692	1756-8706	3.5	4.3	Q2	73/191
JOURNAL OF SOLID STATE CHEMISTRY	J SOLID STATE CHEM	ACADEMIC PRESS INC ELSEVIER SCIENCE	0022-4596	1095-726X	3.5	3.2	Q1	9/42
Therapeutic Advances in Urology	THER ADV UROL	SAGE PUBLICATIONS LTD	1756-2872	1756-2880	3.5	3.4	Q1	23/133
Atmospheric Pollution Research	ATMOS POLLUT RES	TURKISH NATL COMMITTEE AIR POLLUTION RES & CONTROL-TUNCAP	1309-1042	1309-1042	3.5	3.7	Q2	162/374
COMPUTER VISION AND IMAGE UNDERSTANDING	COMPUT VIS IMAGE UND	ACADEMIC PRESS INC ELSEVIER SCIENCE	1077-3142	1090-235X	3.5	4.8	Q2	132/366
International Journal of Productivity and Performance Management	INT J PRODUCT PERFOR	EMERALD GROUP PUBLISHING LTD	1741-0401	1758-6658	3.5	4.1	Q2	158/420
MOLECULAR GENETICS AND METABOLISM	MOL GENET METAB	ACADEMIC PRESS INC ELSEVIER SCIENCE	1096-7192	1096-7206	3.5	3.8	Q2	61/191
Molecular Medicine Reports	MOL MED REP	SPANDIDOS PUBL LTD	1791-2997	1791-3004	3.5	3.2	Q2	106/326
Human Vaccines & Immunotherapeutics	HUM VACC IMMUNOTHER	TAYLOR & FRANCIS INC	2164-5515	2164-554X	3.5	3.5	Q2	65/177
Journal of Bridge Engineering	J BRIDGE ENG	ASCE-AMER SOC CIVIL ENGINEERS	1084-0702	1943-5592	3.5	4.1	Q2	51/183
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	J SCI FOOD AGR	WILEY	0022-5142	1097-0010	3.5	4.2	Q1	18/94
Geocarto International	GEOCARTO INT	TAYLOR & FRANCIS LTD	1010-6049	1752-0762	3.5	3.6	Q2	71/258
Journal of Science and Technology Policy Management	J SCI TECHNOL POLICY	EMERALD GROUP PUBLISHING LTD	2053-4620	1758-5538	3.5	3.9	Q2	158/420
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS	NUMER HEAT TR A-APPL	TAYLOR & FRANCIS INC	1040-7782	1521-0634	3.5	3.0	Q2	21/79
Anthropocene Review	ANTHROPOCENE REV	SAGE PUBLICATIONS INC	2053-0196	2053-020X	3.5	3.8	Q2	71/258
Environmental Science-Atmospheres	ENVIRON SCI-ATMOS	ROYAL SOC CHEMISTRY		2634-3606	3.5	3.5	Q2	40/111
Frontiers in Systems Neuroscience	FRONT SYST NEUROSCI	FRONTIERS MEDIA SA		1662-5137	3.5	3.8	Q2	109/314
Management Research Review	MANAG RES REV	EMERALD GROUP PUBLISHING LTD	2040-8269	2040-8277	3.5	3.9	Q2	158/420
CLINICAL AND EXPERIMENTAL MEDICINE	CLIN EXP MED	SPRINGER-VERLAG ITALIA SRL	1591-8890	1591-9528	3.5	3.6	Q2	68/195
Forces in Mechanics	FORCES MECH	ELSEVIER	2666-3597	2666-3597	3.5	3.4	Q2	45/171
Journal of Bone Oncology	J BONE ONCOL	ELSEVIER		2212-1374	3.5	3.6	Q2	106/326
Journal of Flood Risk Management	J FLOOD RISK MANAG	WILEY	1753-318X	1753-318X	3.5	3.8	Q2	39/131
Journal of Personal Selling & Sales Management	J PERS SELL SALES M	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0885-3134	1557-7813	3.5	4.1	Q2	125/316
Journal of Trust Research	J TRUST RES	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2151-5581	2151-559X	3.5	3.5	Q1	10/78
Journal of Non-Crystalline Solids	J NON-CRYST SOLIDS	ELSEVIER	0022-3093	1873-4812	3.5	3.7	Q1	6/33
MEDICAL ONCOLOGY	MED ONCOL	HUMANA PRESS INC	1357-0560	1559-131X	3.5	3.3	Q2	106/326
Regenerative Therapy	REGEN THER	ELSEVIER	2352-3204	2352-3204	3.5	3.8	Q2	54/124
Soil Systems	SOIL SYST	MDPI		2571-8789	3.5	3.8	Q2	17/48
Journal of Hydrodynamics	J HYDRODYN	SPRINGER	1001-6058	1878-0342	3.5	3.3	Q2	45/171
Journal of the Mechanical Behavior of Biomedical Materials	J MECH BEHAV BIOMED	ELSEVIER	1751-6161	1878-0180	3.5	3.7	Q2	54/124
ORGANIC PROCESS RESEARCH & DEVELOPMENT	ORG PROCESS RES DEV	AMER CHEMICAL SOC	1083-6160	1520-586X	3.5	3.6	Q1	11/57
EXPERIMENTAL CELL RESEARCH	EXP CELL RES	ELSEVIER INC	0014-4827	1090-2422	3.5	3.5	Q2	106/326
ACM Transactions on Accessible Computing	ACM T ACCESS COMPUT	ASSOC COMPUTING MACHINERY	1936-7228	1936-7236	3.5	4.0	Q2	71/175
Advanced Sensor Research	ADV SENSOR RES	WILEY	2751-1219	2751-1219	3.5	3.5	Q2	24/79
Current Pain and Headache Reports	CURR PAIN HEADACHE R	SPRINGER	1531-3433	1534-3081	3.5	4.1	Q2	74/285
Journal of Marketing Analytics	J MARK ANAL	PALGRAVE MACMILLAN LTD	2050-3318	2050-3326	3.5	5.0	Q2	125/316
THERMOCHIMICA ACTA	THERMOCHIM ACTA	ELSEVIER	0040-6031	1872-762X	3.5	3.3	Q2	21/79
MICROBIOLOGY-SGM	MICROBIOL-SGM	MICROBIOLOGY SOC	1350-0872	1465-2080	3.5	3.3	Q2	68/163
Social Enterprise Journal	SOC ENTERP J	EMERALD GROUP PUBLISHING LTD	1750-8614	1750-8533	3.5	3.3	Q2	125/316
Surface Innovations	SURF INNOV	EMERALD GROUP PUBLISHING LTD	2050-6252	2050-6260	3.5	2.9	Q2	8/23
APPLIED INTELLIGENCE	APPL INTELL	SPRINGER	0924-669X	1573-7497	3.5	3.8	Q2	84/204
Applied Ontology	APPL ONTOL	IOS PRESS	1570-5838	1875-8533	3.5	2.1	Q2	37/147
Chinese Journal of Electrical Engineering	CHINESE J ELECTR ENG	CHINA MACHINE PRESS	2096-1529	2836-4619	3.5		Q2	132/366
Epigenomes	EPIGENOMES	MDPI		2075-4655	3.5	3.1	Q2	61/191
International Journal of Environmental Research	INT J ENVIRON RES	SPRINGER INT PUBL AG	1735-6865	2008-2304	3.5	3.3	Q2	162/374
USER MODELING AND USER-ADAPTED INTERACTION	USER MODEL USER-ADAP	SPRINGER	0924-1868	1573-1391	3.5	4.2	Q2	10/31
Journal of Integrative Environmental Sciences	J INTEGR ENVIRON SCI	TAYLOR & FRANCIS LTD	1943-815X	1943-8168	3.5	3.4	Q2	162/374
RESEARCH ON CHEMICAL INTERMEDIATES	RES CHEM INTERMEDIAT	SPRINGER	0922-6168	1568-5675	3.5	3.0	Q2	99/239
Construction Innovation-England	CONSTR INNOV-ENGL	EMERALD GROUP PUBLISHING LTD	1471-4175	1477-0857	3.5	3.9	Q2	25/95
CURRENT MEDICINAL CHEMISTRY	CURR MED CHEM	BENTHAM SCIENCE PUBL LTD	0929-8673	1875-533X	3.5	4.0	Q2	107/352
CURRENT CANCER DRUG TARGETS	CURR CANCER DRUG TAR	BENTHAM SCIENCE PUBL LTD	1568-0096	1873-5576	3.5	2.9	Q2	106/326
INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES	INT J ADHES ADHES	ELSEVIER SCI LTD	0143-7496	1879-0127	3.5	3.8	Q2	75/175
SEMINARS IN NEPHROLOGY	SEMIN NEPHROL	W B SAUNDERS CO-ELSEVIER INC	0270-9295	1558-4488	3.5	4.2	Q1	23/133
ChemElectroChem	CHEMELECTROCHEM	WILEY-V C H VERLAG GMBH	2196-0216	2196-0216	3.5	3.8	Q2	20/44
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE	CURR OPIN CLIN NUTR	LIPPINCOTT WILLIAMS & WILKINS	1363-1950	1473-6519	3.5	3.6	Q2	71/191
Environment and Society-Advances in Research	ENVIRON SOC	BERGHAHN JOURNALS	2150-6779	2150-6787	3.5	3.7	Q2	73/191
PHYSICS TODAY	PHYS TODAY	AMER INST PHYSICS	0031-9228	1945-0699	3.5	3.4	Q1	28/114
ACS Applied Engineering Materials	ACS APPL ENG MATER	AMER CHEMICAL SOC	2771-9545	2771-9545	3.5	3.5	Q2	219/460
Alpha Psychiatry	ALPHA PSYCHIAT	IMR PRESS		2757-8038	3.5	2.6	Q1	71/288
Cell Adhesion & Migration	CELL ADHES MIGR	TAYLOR & FRANCIS INC	1933-6918	1933-6926	3.5	3.2	Q3	105/204
Nano Select	NANO SEL	WILEY		2688-4011	3.5	3.9	Q2	219/460
Religion Brain & Behavior	RELIG BRAIN BEHAV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2153-599X	2153-5981	3.4	3.0		
CHINA JOURNAL	CHINA J	UNIV CHICAGO PRESS	1324-9347	1835-8535	3.4	4.3	Q1	3/182
GENDER & SOCIETY	GENDER SOC	SAGE PUBLICATIONS INC	0891-2432	1552-3977	3.4	6.5	Q1	2/70
Applied Linguistics Review	APPL LINGUIST REV	WALTER DE GRUYTER GMBH	1868-6303	1868-6311	3.4	3.3	Q1	22/303
Journal of English for Academic Purposes	J ENGL ACAD PURP	ELSEVIER	1475-1585	1878-1497	3.4	3.9	Q1	22/303
APPLIED MATHEMATICS AND COMPUTATION	APPL MATH COMPUT	ELSEVIER SCIENCE INC	0096-3003	1873-5649	3.4	3.2	Q1	11/343
Journal of Experimental Political Science	J EXP POLIT SCI	CAMBRIDGE UNIV PRESS	2052-2630	2052-2649	3.4	3.2	Q1	36/322
STATISTICAL SCIENCE	STAT SCI	INST MATHEMATICAL STATISTICS-IMS	0883-4237	2168-8745	3.4	5.2	Q1	14/167
COMPARATIVE POLITICAL STUDIES	COMP POLIT STUD	SAGE PUBLICATIONS INC	0010-4140	1552-3829	3.4	5.9	Q1	36/322
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS	J AM COLL SURGEONS	LIPPINCOTT WILLIAMS & WILKINS	1072-7515	1879-1190	3.4	3.9	Q1	41/312
JOURNAL OF METAMORPHIC GEOLOGY	J METAMORPH GEOL	WILEY	0263-4929	1525-1314	3.4	4.0	Q1	3/61
COMPUTER PHYSICS COMMUNICATIONS	COMPUT PHYS COMMUN	ELSEVIER	0010-4655	1879-2944	3.4	7.2	Q1	4/61
Clinical and Experimental Otorhinolaryngology	CLIN EXP OTORHINOLAR	KOREAN SOC OTORHINOLARYNGOL	1976-8710	2005-0720	3.4	2.9	Q1	4/67
Journal of Public Relations Research	J PUBLIC RELAT RES	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1062-726X	1532-754X	3.4	4.3	Q1	19/227
SCIENCE EDUCATION	SCI EDUC	WILEY	0036-8326	1098-237X	3.4	5.8	Q1	70/756
International Studies Review	INT STUD REV	OXFORD UNIV PRESS	1521-9488	1468-2486	3.4	4.5	Q1	14/169
Autism & Developmental Language Impairments	AUTISM DEV LANG IMP	SAGE PUBLICATIONS INC	2396-9415	2396-9415	3.4	3.4	Q1	4/62
CHILD ABUSE & NEGLECT	CHILD ABUSE NEGLECT	PERGAMON-ELSEVIER SCIENCE LTD	0145-2134	1873-7757	3.4	4.6	Q1	2/94
EDUCATIONAL REVIEW	EDUC REV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0013-1911	1465-3397	3.4	4.4	Q1	70/756
JOURNAL OF MARRIAGE AND FAMILY	J MARRIAGE FAM	WILEY	0022-2445	1741-3737	3.4	5.6	Q1	5/66
Global Media and China	GLOB MEDIA CHINA	SAGE PUBLICATIONS LTD	2059-4364	2059-4372	3.4	3.2	Q1	19/227
PLASTIC AND RECONSTRUCTIVE SURGERY	PLAST RECONSTR SURG	LIPPINCOTT WILLIAMS & WILKINS	0032-1052	1529-4242	3.4	4.1	Q1	41/312
European Journal of Physical and Rehabilitation Medicine	EUR J PHYS REHAB MED	EDIZIONI MINERVA MEDICA	1973-9087	1973-9095	3.4	3.3	Q1	12/173
IEEE-ACM Transactions on Computational Biology and Bioinformatics	IEEE ACM T COMPUT BI	IEEE COMPUTER SOC	1545-5963	1557-9964	3.4	3.3	Q1	14/167
JOURNAL OF ADVANCED NURSING	J ADV NURS	WILEY	0309-2402	1365-2648	3.4	4.2	Q1	15/192
Journal of Prosthodontic Research	J PROSTHODONT RES	JAPAN PROSTHODONTIC SOC	1883-1958	2212-4632	3.4	3.7	Q1	25/162
JOURNAL OF MOLECULAR DIAGNOSTICS	J MOL DIAGN	ELSEVIER SCIENCE INC	1525-1578	1943-7811	3.4	3.5	Q1	19/90
JOURNAL OF PERIODONTAL RESEARCH	J PERIODONTAL RES	WILEY	0022-3484	1600-0765	3.4	3.7	Q1	25/162
SEX ROLES	SEX ROLES	SPRINGER/PLENUM PUBLISHERS	0360-0025	1573-2762	3.4	4.6	Q1	2/70
Geopolitics	GEOPOLITICS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1465-0045	1557-3028	3.4	3.8	Q1	36/322
PHYSICAL REVIEW C	PHYS REV C	AMER PHYSICAL SOC	2469-9985	2469-9993	3.4	3.2	Q2	7/22
JOURNAL OF PUBLIC ECONOMICS	J PUBLIC ECON	ELSEVIER SCIENCE SA	0047-2727	0047-2727	3.4	5.9	Q1	97/617
Applied Economic Perspectives and Policy	APPL ECON PERSPECT P	WILEY	2040-5790	2040-5804	3.4	4.4	Q1	97/617
Journal of Mass Spectrometry and Advances in the Clinical Lab	J MASS SPECTROM ADV	ELSEVIER	2667-1468	2667-145X	3.4	3.2	Q2	9/33
Andrology	ANDROLOGY-US	WILEY	2047-2919	2047-2927	3.4	3.8	Q1	2/8
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY	AM J PHYSIOL-RENAL	AMER PHYSIOLOGICAL SOC	1931-857X	1522-1466	3.4	3.9	Q1	25/133
JOURNAL OF MEDICAL ETHICS	J MED ETHICS	BMJ PUBLISHING GROUP	0306-6800	1473-4257	3.4	3.4	Q1	8/77
British Journal of Politics & International Relations	BRIT J POLIT INT REL	SAGE PUBLICATIONS INC	1369-1481	1467-856X	3.4	3.4	Q1	14/169
JOURNAL OF ENGINEERING EDUCATION	J ENG EDUC	AMER SOC ENGINEERING EDUCATION	1069-4730	2168-9830	3.4	4.8	Q1	70/756
HEALTH POLICY	HEALTH POLICY	ELSEVIER IRELAND LTD	0168-8510	1872-6054	3.4	3.3	Q1	13/124
JOURNAL OF SCIENCE AND MEDICINE IN SPORT	J SCI MED SPORT	ELSEVIER SCI LTD	1440-2440	1878-1861	3.4	3.8	Q1	21/133
BIOLOGICAL CONTROL	BIOL CONTROL	ACADEMIC PRESS INC ELSEVIER SCIENCE	1049-9644	1090-2112	3.4	4.0	Q1	10/110
ASSESSMENT	ASSESSMENT	SAGE PUBLICATIONS INC	1073-1911	1552-3489	3.4	4.1	Q1	32/185
PUBLIC RELATIONS REVIEW	PUBLIC RELAT REV	ELSEVIER SCIENCE INC	0363-8111	1873-4537	3.4	4.5	Q1	19/227
Journal of Safety Science and Resilience	J SAF SCI RESIL	KEAI PUBLISHING LTD	2096-7527	2666-4496	3.4	4.5	Q1	78/419
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	B AM MUS NAT HIST	AMER MUSEUM NATURAL HISTORY	0003-0090	1937-3546	3.4	4.4	Q1	14/73
BMC Medical Research Methodology	BMC MED RES METHODOL	BMC		1471-2288	3.4	5.2	Q1	37/185
Entrepreneurial Business and Economics Review	ENTREPR BUS ECON REV	CRACOW UNIV ECONOMICS	2353-883X	2353-8821	3.4	2.8	Q1	97/617
Dermatologic Therapy	DERMATOL THER	WILEY	1396-0296	1529-8019	3.4	2.8	Q1	19/96
Health and Quality of Life Outcomes	HEALTH QUAL LIFE OUT	BMC		1477-7525	3.4	4.3	Q1	13/124
International Journal for Parasitology-Drugs and Drug Resistance	INT J PARASITOL-DRUG	ELSEVIER SCI LTD	2211-3207	2211-3207	3.4	3.9	Q1	6/47
ACTA ASTRONAUTICA	ACTA ASTRONAUT	PERGAMON-ELSEVIER SCIENCE LTD	0094-5765	1879-2030	3.4	3.5	Q1	10/55
Research in Transportation Economics	RES TRANSP ECON	ELSEVIER SCI LTD	0739-8859	1875-7979	3.4	3.6	Q1	97/617
ICES JOURNAL OF MARINE SCIENCE	ICES J MAR SCI	OXFORD UNIV PRESS	1054-3139	1095-9289	3.4	3.6	Q1	11/119
Journal of Intelligence	J INTELL-BASEL	MDPI		2079-3200	3.4	3.5	Q1	29/221
Sleep Health	SLEEP HEALTH	ELSEVIER	2352-7218	2352-7226	3.4	4.0	Q2	78/285
Kidney Medicine	KIDNEY MED	ELSEVIER	2590-0595	2590-0595	3.4	3.5	Q1	25/133
PLoS Neglected Tropical Diseases	PLOS NEGLECT TROP D	PUBLIC LIBRARY SCIENCE	1935-2735	1935-2735	3.4	3.8	Q1	6/47
Strategy Science	STRATEG SCI	INFORMS	2333-2050	2333-2077	3.4	4.6	Q2	167/420
SLEEP MEDICINE	SLEEP MED	ELSEVIER	1389-9457	1878-5506	3.4	3.9	Q2	78/285
European Journal of Work and Organizational Psychology	EUR J WORK ORGAN PSY	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1359-432X	1464-0643	3.4	5.7	Q2	32/115
Health Information Science and Systems	HEALTH INF SCI SYST	SPRINGER	2047-2501	2047-2501	3.4	4.1	Q2	23/48
EUROPEAN JOURNAL OF PAIN	EUR J PAIN	WILEY	1090-3801	1532-2149	3.4	3.9	Q1	11/68
International Journal of Sustainability in Higher Education	INT J SUST HIGHER ED	EMERALD GROUP PUBLISHING LTD	1467-6370	1758-6739	3.4	4.3	Q1	70/756
JOURNAL OF CLINICAL VIROLOGY	J CLIN VIROL	ELSEVIER	1386-6532	1873-5967	3.4	3.3	Q2	18/42
Journal of Organizational and End User Computing	J ORGAN END USER COM	IGI GLOBAL	1546-2234	1546-5012	3.4	3.1	Q1	35/166
Accounting Auditing & Accountability Journal	ACCOUNT AUDIT ACCOUN	EMERALD GROUP PUBLISHING LTD	0951-3574	1758-4205	3.4	5.7	Q1	57/241
JOURNAL OF ECONOMICS AND BUSINESS	J ECON BUS	ELSEVIER SCIENCE INC	0148-6195	0148-6195	3.4	3.2	Q1	57/241
BMC Complementary Medicine and Therapies	BMC COMPLEMENT MED	BMC		2662-7671	3.4	3.8	Q1	11/45
EUROPEAN EATING DISORDERS REVIEW	EUR EAT DISORD REV	WILEY	1072-4133	1099-0968	3.4	4.3	Q1	32/185
Frontiers in Public Health	FRONT PUBLIC HEALTH	FRONTIERS MEDIA SA		2296-2565	3.4	3.8	Q1	78/419
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS	J GEOPHYS RES-OCEANS	AMER GEOPHYSICAL UNION	2169-9275	2169-9291	3.4	4.0	Q1	9/65
JOURNAL OF RHEUMATOLOGY	J RHEUMATOL	J RHEUMATOL PUBL CO	0315-162X	1499-2752	3.4	3.8	Q2	16/58
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY	NEUROPATH APPL NEURO	WILEY	0305-1846	1365-2990	3.4	4.1	Q1	19/90
TOXICOLOGY AND APPLIED PHARMACOLOGY	TOXICOL APPL PHARM	ACADEMIC PRESS INC ELSEVIER SCIENCE	0041-008X	1096-0333	3.4	3.6	Q2	34/106
WOUND REPAIR AND REGENERATION	WOUND REPAIR REGEN	WILEY	1067-1927	1524-475X	3.4	4.0	Q1	41/312
Frontiers in Physiology	FRONT PHYSIOL	FRONTIERS MEDIA SA		1664-042X	3.4	4.0	Q1	20/87
Journal of Asian Economics	J ASIAN ECON	ELSEVIER	1049-0078	1873-7927	3.4	3.5	Q1	97/617
Molecular and Cellular Pediatrics	MOL CELL PEDIATR	SPRINGERNATURE		2194-7791	3.4		Q1	20/191
AGGRESSION AND VIOLENT BEHAVIOR	AGGRESS VIOLENT BEH	PERGAMON-ELSEVIER SCIENCE LTD	1359-1789	1873-6335	3.4	5.1	Q1	5/111
JOURNAL OF PHYCOLOGY	J PHYCOL	WILEY		1529-8817	3.4	3.1	Q1	11/119
Vaccines	VACCINES-BASEL	MDPI		2076-393X	3.4	3.7	Q2	75/195
Agronomy-Basel	AGRONOMY-BASEL	MDPI		2073-4395	3.4	3.8	Q1	21/129
Reproductive Health	REPROD HEALTH	BMC		1742-4755	3.4	4.3	Q1	78/419
Current Heart Failure Reports	CURR HEART FAIL REP	SPRINGERNATURE	1546-9530	1546-9549	3.4	3.6	Q2	62/230
